NAME	EXCHANGE	SUPERSECTOR
01 Communique Laboratory Inc. (OONEF)	OOTC	Software
0187279 B.C. Ltd. (LNXGF)	OOTC	Shell companies
10X Capital Venture Acquisition Corp. II Cl A (VCXA)	XNAS	Shell companies
10X Capital Venture Acquisition Corp. II Un (VCXAU)	XNAS	Shell companies
10X Capital Venture Acquisition Corp. II Wt (VCXAW)	XNAS	
10X Capital Venture Acquisition Corp. III (VCXB.UT)	XNYS	Shell companies
10X Capital Venture Acquisition Corp. III Cl A (VCXB)	XNYS	Shell companies
10X Capital Venture Acquisition Corp. III Wt (VCXB.WT)	XNYS	
10x Genomics Inc. (TXG)	XNAS	Biotechnology
111 Inc. ADR (YI)	XNAS	Drug Retail
12 Retech Corp. (RETC)	OOTC	Software
17 Education & Technology Group Inc. ADR (YQ)	XNAS	Software
180 Degree Capital Corp. (TURN)	XNAS	Closed-End Funds
180 Life Sciences Corp. (ATNF)	XNAS	Biotechnology
180 Life Sciences Corp. Wt (ATNFW)	XNAS	
1-800-FLOWERS.COM Inc. Cl A (FLWS)	XNAS	Specialty Retail
1812 Brewing Co. Inc. (KEGS)	OOTC	Investment Advisors
1847 Holdings LLC (EFSH)	XASE	Investment Advisors
1867 Western Financial Corp. (WFCL)	OOTC	Banking
1895 Bancorp of Wisconsin Inc. (BCOW)	XNAS	Banking
1911 Gold Corp. (AUMBF)	OOTC	Gold
1933 Industries Inc. (TGIFF)	OOTC	Farming
1CM Inc. (MILFF)	OOTC	Pharmaceuticals
1Life Healthcare Inc. (ONEM)	XNAS	Healthcare Provision
1MAGE Software Inc. (ISOL)	OOTC	Software
1st Capital Bancorp (FISB)	OOTC	Banking
1st Colonial Bancorp Inc. (FCOB)	OOTC	Banking
1st NRG Corp. (FNRC)	OOTC	Oil Extraction
1st Source Corp. (SRCE)	XNAS	Banking
1stdibs.com Inc. (DIBS)	XNAS	Mixed Retailing
2020 Bulkers Ltd. (TTBKF)	OOTC	Water Transport/Shipping
22nd Century Group Inc. (XXII)	XNAS	Biotechnology
23andMe Holding Co. (ME)	XNAS	Biotechnology
26 Capital Acquisition Corp. (ADERU)	XNAS	Shell companies
26 Capital Acquisition Corp. Cl A (ADER)	XNAS	Shell companies
26 Capital Acquisition Corp. Wt (ADERW)	XNAS	
2seventy bio Inc. (TSVT)	XNAS	Biotechnology
2U Inc. (TWOU)	XNAS	Software
360 DigiTech Inc. ADR (QFIN)	XNAS	Computer Services
36Kr Holdings Inc. ADR (KRKR)	XNAS	Publishing
374Water Inc. (SCWO)	XNAS	Industrial Electronics
3D Pioneer Systems Inc. (DPSM)	OOTC	Computers/Consumer Electronics
3D Systems Corp. (DDD)	XNYS	Computers/Consumer Electronics
3DX Industries Inc. (DDDX)	OOTC	Computers/Consumer Electronics
3i Group PLC (TGOPF)	OOTC	Investment Advisors
3i Group PLC ADR (TGOPY)	OOTC	Investment Advisors
3M Co. (MMM)	XNYS	Diversified Holding Companies
4Cable TV International Inc. (CATV)	OOTC	Networking
4D Molecular Therapeutics Inc. (FDMT)	XNAS	Biotechnology
4D pharma PLC Wt (LBPWQ)	OOTC	
4DMedical Ltd. (FDMDF)	OOTC	Medical Equipment/Supplies
4Front Ventures Corp. (FFNTF)	OOTC	Farming
51Talk Online Education Group ADR (COE)	XNYS	Consumer Services
5E Advanced Materials Inc. (FEAM)	XNAS	General Mining
5N Plus Inc. (FPLSF)	OOTC	Semiconductors
7 Acquisition Corp. (SVNAU)	XNAS	Shell companies
7 Acquisition Corp. Cl A (SVNA)	XNAS	Shell companies
7 Acquisition Corp. Wt (SVNAW)	XNAS	
7GC & Co. Holdings Inc. (VIIAU)	XNAS	Shell companies
7GC & Co. Holdings Inc. Cl A (VII)	XNAS	Shell companies
7GC & Co. Holdings Inc. Wt (VIIAW)	XNAS	
808 Renewable Energy Corp. (RNWR)	OOTC	Multiutilities
88 Energy Ltd. (EEENF)	OOTC	Oil Extraction
888 Holdings PLC (EIHDF)	OOTC	Gambling Industries
89bio Inc. (ETNB)	XNAS	Biotechnology
8X8 Inc. (EGHT)	XNAS	Wired Telecommunications Services
9 Meters Biopharma Inc. (NMTR)	XNAS	Pharmaceuticals
908 Devices Inc. (MASS)	XNAS	Precision Products
92 Energy Ltd. (NTELF)	OOTC	Non-Ferrous Metals
9F Inc. ADR (JFU)	XNAS	Consumer Finance
A SPAC I Acquisition Corp. (ASCAU)	XNAS	Shell companies
A SPAC I Acquisition Corp. Cl A (ASCA)	XNAS	Shell companies
A SPAC I Acquisition Corp. Rt (ASCAR)	XNAS	Shell companies
A SPAC I Acquisition Corp. Wt (ASCAW)	XNAS	
A SPAC II Acquisition Corp. (ASCBU)	XNAS	Shell companies
A SPAC II Acquisition Corp. (ASCB)	XNAS	Shell companies
A SPAC II Acquisition Corp. Rt (ASCBR)	XNAS	Shell companies
A SPAC II Acquisition Corp. Wt (ASCBW)	XNAS	
A.G.F. Management Ltd. Cl B NV (AGFMF)	OOTC	Investment Advisors
A.I.S. Resources Ltd. (AISSF)	OOTC	General Mining
a.k.a. Brands Holding Corp. (AKA)	XNYS	Clothing Retail
A.O. Smith Corp. (AOS)	XNYS	Building Materials/Products
A.P. Moeller-Maersk A/S ADR (AMKBY)	OOTC	Water Transport/Shipping
A.P. Moeller-Maersk A/S Series A (AMKAF)	OOTC	Water Transport/Shipping
A.P. Moeller-Maersk A/S Series B (AMKBF)	OOTC	Water Transport/Shipping
A-1 Group Inc. (AWON)	OOTC	Tobacco
A10 Networks Inc. (ATEN)	XNYS	Networking
a2 Milk Co. Ltd. (ACOPF)	OOTC	Food Products
a2 Milk Co. Ltd. ADR (ACOPY)	OOTC	Food Products
A2Z Smart Technologies Corp. (AZ)	XNAS	Defense Equipment/Products
AAC Clyde Space AB (ACCMF)	OOTC	Aerospace Products/Parts
AAC Technologies Holdings Inc. ADR (AACAY)	OOTC	Industrial Electronics
Aadi Bioscience Inc. (AADI)	XNAS	Biotechnology
AAON Inc. (AAON)	XNAS	Building Materials/Products
AAP Inc. (AAPJ)	OOTC	Food Products
AAR Corp. (AIR)	XNYS	Aerospace Products/Parts
Aardvark Ventures Inc. (ROCAF)	OOTC	General Mining
Aaron's Co. Inc. (AAN)	XNYS	General Services
AB International Group Corp. (ABQQ)	OOTC	Specialty Retail
AB&T Financial Corp. (ABTO)	OOTC	Banking
Abacus Mining & Exploration Corp. (ABCFF)	OOTC	Non-Ferrous Metals
Abattis Bioceuticals Corp. (ATTBF)	OOTC	Biotechnology
Abaxx Technologies Inc. (ABXXF)	OOTC	Computer Services
ABB Ltd. (ABLZF)	OOTC	Precision Products
ABB Ltd. ADR (ABB)	XNYS	Precision Products
Abbott Laboratories (ABT)	XNYS	Pharmaceuticals
AbbVie Inc. (ABBV)	XNYS	Biotechnology
Abby Inc. (ABBY)	OOTC	Oil Extraction
Abcam PLC (ABCZF)	OOTC	Biotechnology
Abcam PLC ADR (ABCM)	XNAS	Biotechnology
AbCellera Biologics Inc. (ABCL)	XNAS	Biotechnology
ABCO Energy Inc. (ABCE)	OOTC	Construction
Abcourt Mines Inc. (ABMBF)	OOTC	General Mining
Aben Resources Ltd. (ABNAF)	OOTC	Gold
Abengoa S.A. (ABGOF)	OOTC	Construction
Abengoa S.A. B (AGOAF)	OOTC	Construction
Abeona Therapeutics Inc. (ABEO)	XNAS	Biotechnology
Abercrombie & Fitch Co. (ANF)	XNYS	Clothing Retail
Aberdeen International Inc. (AABVF)	OOTC	Banking
ABG Acquisition Corp. I Cl A (ABGI)	XNAS	Shell companies
ABG Sundal Collier Holding ASA (ABGSF)	OOTC	Investment Advisors
Ability Inc. (ABILF)	OOTC	Precision Products
Abiomed Inc. (ABMD)	XNAS	Medical Equipment/Supplies
Ablaze Technologies Inc. (ABZT)	OOTC	Advertising/Marketing/Public Relations
ABM Industries Inc. (ABM)	XNYS	Diversified Business Services
ABN AMRO Bank N.V. ADR (AAVMY)	OOTC	Major International Banks
AbraSilver Resource Corp. (ABBRF)	OOTC	Oil Extraction
Abraxas Petroleum Corp. (AXAS)	OOTC	Oil Extraction
abrdn Income Credit Strategies Fund 5.25% Perp. Pfd. Series A (ACP.PRA)	XNYS	Closed-End Funds
abrdn PLC (SLFPF)	OOTC	Investment Advisors
abrdn PLC ADR (SLFPY)	OOTC	Investment Advisors
Abri SPAC I Inc. (ASPAU)	XNAS	Shell companies
Abri SPAC I Inc. (ASPA)	XNAS	Shell companies
Abri SPAC I Inc. Wt (ASPAW)	XNAS	
Absa Group Ltd. (AGRPY)	OOTC	Banking
Absci Corp. (ABSI)	XNAS	Pharmaceuticals
Absecon Bancorp (ASCN)	OOTC	Banking
Absolute Health & Fitness Inc. (AHFI)	OOTC	Recreational Services
Absolute Software Corp. (ABST)	XNAS	Software
ABVC BioPharma Inc. (ABVC)	XNAS	Biotechnology
AC Immune S.A. (ACIU)	XNAS	Biotechnology
Acacia Diversified Holdings Inc. (ACCA)	OOTC	Pharmaceuticals
Acacia Research Corp. - Acacia Technologies (ACTG)	XNAS	General Services
Academy Sports & Outdoors Inc. (ASO)	XNAS	Specialty Retail
Acadia Healthcare Co. Inc. (ACHC)	XNAS	Healthcare Provision
ACADIA Pharmaceuticals Inc. (ACAD)	XNAS	Biotechnology
Acadia Realty Trust (AKR)	XNYS	Retail REITs
Acadian Timber Corp. (ACAZF)	OOTC	Forestry & Wood Products
Acasti Pharma Inc. (ACST)	XNAS	Pharmaceuticals
Accel Entertainment Inc. (ACEL)	XNYS	Gambling Industries